"","lichen.rich","Parmeliaceae","Physciaceae","fric","fdiv","raoQ","wetness","rain_lowRH","mat","iso","pseas","ap","rh","totalNS","radiation","ap_reg_mean","rh_reg_mean","wetness_reg_mean","rain_lowRH_reg_mean","mat_reg_mean","iso_reg_mean","pseas_reg_mean","ap_reg_var","rh_reg_var","wetness_reg_var","rain_lowRH_reg_var","mat_reg_var","iso_reg_var","pseas_reg_var","ap_reg_cv","rh_reg_cv","mat_reg_cv","iso_reg_cv","pseas_reg_cv","totalNS_reg","regS_tree","bark_moist_pct.ba","bark_moist_pct.rao.ba","wood_SG.ba","wood_SG.rao.ba","PC1","LogSeed.ba","LogSeed.rao.ba","PIE.ba.tree","propDead","light.mean","lightDist.mean","regS","regFIA","regParm","regPhys","tot_abun_log","parm_abun_log","phys_abun_log","bigTrees","diamDiversity","lichen.rich_log","Parm_log","Phys_log"
"1997_56_13_7143",-0.678533133866852,-0.689968324380142,-0.439318240127211,-1.32133015429961,-2.47808408844167,-0.697287209969573,-0.725012568170854,-0.772904515160594,-1.44876506307957,-0.00411576682500274,-0.479771708819164,-0.976211794453249,-0.339896617083267,-0.938491767470996,1.49714941921379,-1.00587624373681,-0.356920175678161,-0.691246581269304,-1.00173634667413,-0.804253270898374,0.130647640727928,0.29902553706905,-0.592452136338372,0.0643084986575409,-0.0888857771753667,-0.00320342815094934,-0.262074381488822,-1.20721507895804,0.963808283377708,-0.437265138644293,-0.0268130284846243,0.438784954332127,-1.40788416365939,1.48793755080963,-0.931689637923667,-1.04754422739912,-4.04755778565898,-1.23522272149695,-1.07898337242489,-1.44863793349675,1.35030707199681,0.674974102895939,-1.2069460620638,-1.72104578858743,-0.974261996474373,0.760425960521994,0.515261924931146,-0.865870083593225,-0.720248686830472,-0.648840622831402,-0.183440654347823,-1.05042248894465,-0.515520890105551,-0.300580998117454,-1.36818325695308,0.270251633648546,-0.537041245102075,-0.504958688206745,-0.203939283261497
"1997_56_13_7850",-1.1134728726755,-0.689968324380142,-0.987895497117228,-1.43502079258223,0.786047694838402,-1.37677902658032,-0.649072359080327,-0.334234798508382,-2.0952199176772,0.312469017354215,-0.809213235710524,-0.726012048147805,-0.45359079557417,-0.620338956545509,1.38814240920294,-1.00731307107601,-0.347298439624538,-0.686672498976416,-1.02174678130815,-0.847903947494664,0.14656474248598,0.238989618486277,-0.590807680963398,0.108338694056565,-0.0449997939848055,-0.00614495392124478,-0.32343927636994,-1.17221867332691,0.901667021404892,-0.436542609401959,0.0067235050334246,0.397194859922503,-1.36956928465237,1.3315879670003,-0.83698374482272,-1.09478745373359,-1.38721872804045,1.96763225460592,-0.800409203938521,-0.379640559602209,1.60280167699348,0.30376799041147,0.410982768386764,0.775633053253648,-0.504046453508278,-1.92798144255768,-1.32038958195274,-0.829363964996275,-0.696366112128939,-0.584467110280287,-0.2563870544254,-0.166318707855446,0.405868800254016,-1.32284858010851,-0.154266718352553,-0.0315146017720461,-1.44105641198053,-0.504958688206745,-1.2743705996173
"1997_56_13_7852",-0.823513046803069,-0.524386259263081,-0.439318240127211,-0.926622544884643,3.51589135278768,-0.237229717082224,-0.541823180487534,-0.951099327780264,-0.780018661771665,0.312469017354215,-0.534678629967724,-0.884032940551244,-0.0981360323144147,-1.18051956056013,-1.65950252278086,-1.0038249635288,-0.320115684186516,-0.670054155361084,-1.0659143840301,-0.839786730659951,0.123792502168697,0.315819732934769,-0.61866764061808,0.0245205123239657,-0.11420307637213,-0.044373886105474,-0.349035119676706,-1.15605050916908,0.946507944920162,-0.444455369072179,-0.0640792768508239,0.331054068859213,-1.34680365187958,1.4047286092821,-0.882096572355688,-1.07116584056636,-0.958538816358075,-1.23522272149695,0.197884113284078,1.2022895966383,1.3182152292316,0.0274798895281355,-0.449126007719288,-0.665268093270809,0.96359599877984,1.31435605731038,1.02705116092661,-0.826529399885784,-0.697522538374659,-0.609128144544214,-0.208117861384111,-0.989540420609322,-0.347195174843995,-0.133934940644434,-0.696392101678063,0.536547103579463,-0.786059510048788,-0.232965152606091,-0.203939283261497
"1997_56_17_7844",-0.823513046803069,-1.02113245461427,0.657836273852823,-0.514533233886221,1.86922803562505,0.0456187616062636,-1.04205734572101,-0.4077830354501,-0.735435568351138,0.154176625264606,0.947808241043394,-1.11228534068954,-0.78198334598493,-1.09301068763166,0.00625962154609469,-0.993302602318142,-0.208174399599154,-0.603499592153133,-1.25409525184879,-0.83925489215828,0.0581233757354463,0.58012504042945,-0.736173831214616,-0.256165331029317,-0.403654279693635,-0.187124961014844,-0.52242817320757,-1.02218854530056,1.03458966013366,-0.47409147101495,-0.299386176927616,-0.0168242166556165,-1.17679266437857,1.43845001716848,-1.06393415355068,-1.04754422739912,-0.958538816358075,-1.23522272149695,-0.224879286178057,-1.44863793349675,1.3182152292316,-0.143956729368918,-1.2069460620638,-1.72104578858743,-0.974261996474373,1.64671411538342,0.515261924931146,-0.856247994131727,-0.77863491185246,-0.597165260118052,-0.299441959402327,-2.43834754148734,-1.99263557291706,-0.442315212663326,-1.06153365308434,-0.383646899575917,-0.786059510048788,-1.34984777965377,0.866492033094308
"1997_56_19_8611",-0.533553220930634,-0.193222129028958,-0.439318240127211,-0.420627352823475,-2.03541761295581,0.323440861924831,-0.369247918669768,-0.299485096568738,-1.96147063741562,-0.162408158914612,-0.150330181927804,-0.458254424908645,-0.212405292792911,-0.508302691323636,-0.467475645013173,-0.994545117546108,0.0097103261465103,-0.484594401568681,-1.65596335298957,-0.778810218932191,-0.135946109950596,1.18562058124307,-0.895466577819258,-0.383706872314415,-0.514410366051329,-0.400704453240951,-0.737359967886727,-0.369299311814887,1.00935992174314,-0.505622982274336,-0.419504530010436,-0.517997079174049,-0.336569327103265,0.842479981592774,-0.67885380015107,-1.00030100106465,-0.705985593555457,-1.20053172078654,-1.02871725387455,-0.883693566894486,1.59376086281024,-0.988431803175775,-0.795943119195484,-1.20338206869686,0.290272458055915,0.000263427698538022,0.654090470441929,-0.821532351644514,-0.818065692390462,-0.851142469431692,-0.529312125103041,0.972253589962275,1.22057344918313,-0.00204852862314869,-0.332851499530337,-0.00628322967661142,-0.321331812327994,0.177166678365784,-0.203939283261497
"1997_56_23_6537",-0.968492959739286,-1.02113245461427,-0.439318240127211,-1.19213955320313,1.27837616239936,-0.56511508142134,-0.670833523503331,-1.43277235423614,-0.980642582164035,0.154176625264606,-0.589585551116284,-1.20007472535812,-0.0149865553510443,-1.02235566309045,0.763263346132194,-1.04641754145971,-0.608848078532046,-0.849286503595082,-0.605850515680694,-0.799887774841711,0.292420033433948,-0.294860905730588,-0.419310459204164,0.620306534725482,0.24965616404162,0.295736419213416,0.0074202822434245,-1.03060485139802,0.436708802859357,-0.37616515157886,0.474885186169244,0.955206313455939,-1.23183980934175,0.517492699479528,-0.934913229656891,-1.23651713273699,-0.958538816358075,-1.23522272149695,2.23066996178159,-1.44863793349675,1.3182152292316,0.851803691568622,-1.2069460620638,-1.72104578858743,-0.974261996474373,0.849054776008134,3.29729572059875,-1.04977918654224,-0.925283328353478,-0.72992664511719,-0.333972840490942,-1.47165978624102,-1.2986808409021,-0.367502895572037,1.01365808577472,1.90818571492745,-1.08058560481588,-1.34984777965377,-0.203939283261497
"1997_56_23_7167",-0.2435933950582,-0.0276400639118964,-0.439318240127211,-0.364732251204,-0.287161904955333,0.569222367760963,-0.846736376520466,-0.214558770883455,-1.62709743676167,0.312469017354215,-1.08374784145332,-0.855501390533956,-0.684153979593833,-0.283492180047791,-4.23372176529567,-1.03101800524481,-0.498832244552325,-0.781399741438332,-0.782507868366468,-0.841755593523557,0.257850030363143,-0.135948985826364,-0.488687494885648,0.52452747316905,0.220841097871477,0.179013870670121,-0.178688939074432,-1.10470571467877,0.582110663193089,-0.402315252861782,0.370736367393515,0.676027301540258,-1.31037845358425,0.737265351603832,-0.573746854793504,-1.18927390640252,-0.0319185707150772,0.372087880160047,-1.02049193959328,0.525727319522934,1.67969453572591,-0.468863584213593,-0.485060782584931,0.717608950800791,-0.166821165118452,-0.471208958130273,-0.44167844001359,-1.17690430808554,-1.11277758376718,-0.993344151549888,-0.700103220948172,0.872812607197176,1.05574948651777,-0.00204852862314869,-0.504586660441319,-0.300294933503957,0.0391389948366623,0.339930403240275,-0.203939283261497
"1997_56_23_7171",-0.533553220930634,-0.524386259263081,-0.439318240127211,-1.09290545693773,-1.47077123199575,-0.0817515357815806,-0.798001600485007,-0.0771616783940172,-1.78313826373352,0.154176625264606,-0.973933999156203,-0.754543598165093,-0.696967128117898,-0.192777740161961,1.06601964902501,-1.02386316218156,-0.459577017324477,-0.756363840281578,-0.842822084321524,-0.852137855269205,0.248691201515362,-0.0896964799208746,-0.492809551309395,0.476504731374637,0.206817939187303,0.135357099538233,-0.232017478643289,-1.11483948452003,0.614520513283643,-0.405256403332865,0.323216632096636,0.589672001977809,-1.3204259248144,0.779686059177161,-0.494677311355263,-1.16565229323529,-0.361816950342978,-0.210153500972551,-1.63585376856334,-1.15054339392208,1.32466587756234,-0.615482223866422,-0.353400723241153,0.0445061348736,-0.974261996474373,-1.01215034920087,-0.190796226688536,-1.23846696498266,-1.13580886278692,-1.04245573498815,-1.01048030219155,-0.278102521780945,0.0324241806253246,0.139685685922723,0.0762677828541485,0.080096133228527,-0.321331812327994,-0.232965152606091,-0.203939283261497
"1997_56_23_7176",-0.678533133866852,-0.524386259263081,-0.439318240127211,-1.06483008474726,-1.26144868193146,0.0964495085361471,-0.727822841390519,-0.204274630243516,-1.51563970321036,0.312469017354215,-0.864120156859084,-0.743569925081521,-0.57978931554383,-0.361080193238302,1.08279898321586,-1.01437210923452,-0.415891526576379,-0.727753823068119,-0.907438748506779,-0.85892443309301,0.233090146664603,-0.0222183960965763,-0.486355783067182,0.42577327324086,0.196038103218361,0.0848842746388043,-0.283155379718428,-1.12657138953611,0.661360506700826,-0.405519102312239,0.273183630102101,0.49947760732663,-1.33124289484794,0.843644287005991,-0.536125782825966,-1.11840906690082,1.57068948299712,0.0456148016847183,-1.26976432914882,-1.21339178882178,1.29280504500629,-2.64680936929919,-0.315134255255289,-1.2323540873362,-0.700974330476985,-0.228485033323391,-0.340874834002937,-1.51305758647431,-1.56272632285434,-1.28610189138228,-1.29217392530789,0.238605493993397,0.118000376280512,0.842763024935756,-0.778724232661097,-0.26267081990696,-0.537041245102075,-0.232965152606091,-0.203939283261497
"1997_56_23_7869",-0.2435933950582,-0.193222129028958,0.657836273852823,-0.261392388592945,-0.13092548384716,0.281762246376905,-0.428749919723905,-0.609645512852613,-1.49334815650009,0.154176625264606,-0.754306314561964,-0.640417398095943,-0.13732572151062,-0.567477225658242,1.31312046715691,-0.996800509720815,-0.363319257902378,-0.690312223944781,-0.975125001973919,-0.871109563701258,0.222114047281618,0.0307972906988011,-0.44435711428057,0.348611264135381,0.190165968974427,0.00169723018865126,-0.355699640212309,-1.11151006748166,0.66900297013584,-0.39674244904881,0.200997914976146,0.374737432343955,-1.31199395705978,0.810779392697211,-0.499525835514339,-1.07116584056636,0.398373695936983,0.334846808974776,-0.67989808471315,0.518181033625378,1.40002918285821,-0.440052072102957,-0.987474884482627,-0.152471296632681,-0.974261996474373,0.317281883091276,-0.58705335259753,-1.27433703619985,-1.12801165811405,-1.13693573423446,-1.46543950588526,-1.39348463528157,-0.873051938228913,-0.124237491884101,0.184546224884408,1.95501650652237,0.0391389948366623,0.177166678365784,0.866492033094308
